Domain,Zero-Shot,Few-Shot,Single-Domain CRPO,Multi-Domain CRPO
Gsm8K,0.7515422315448523,0.7838293558135628,0.8882911357879638,0.9774951181411743
Bbh Navigate,0.5049896462112664,0.4294201605618001,0.5936082797646524,0.8525085896253585
Liar,0.6279451481103897,0.6138447153121234,0.8624578269720078,0.9580309083461762
Code,0.7441609015464783,0.7733047328293324,0.7591558586955071,0.8900065340995789
